📊 خلاصه پوشه: Best_1h
تاریخ تولید,2026-07-21 09:27:26

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
23,BTCUSDT-1m_XRPUSDT-1m,2995,874,2121,29.18,-202.2579,-202.2579,-8.50,17,-217.67,1.962,-0.051,⚠️ منفی,29.18,7.88,0.93,0.00,31.2843,-0.4998,1.3162,108,560.6726,-277.21,0.00,0.00,101,0,-2.0026,8.3225,38.1794,-15.2947,31.68,7.1794,-6.2609,8,29.65,6.78,-0.241,-0.594,-213.87,0,-0.112
24,ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,3382,977,2405,28.89,-318.9517,-318.9517,-8.50,17,-389.63,1.802,-0.069,⚠️ منفی,28.89,6.71,0.83,0.00,31.2843,-0.4998,1.3745,101,566.4025,-177.58,0.00,0.00,101,0,-3.1579,9.4185,50.5952,-15.1661,23.76,8.9703,-6.9382,20,33.49,10.09,-0.335,-0.887,-384.83,0,-0.098
25,BTCUSDT-1m,1876,609,1267,32.46,-48.1393,-48.1393,-9.00,18,-122.05,1.922,-0.020,⚠️ منفی,32.46,8.74,0.96,0.00,15.1924,-0.4998,1.2756,76,379.0650,-787.43,0.00,0.00,101,0,-0.4766,6.3499,31.7831,-9.7965,37.62,5.7696,-4.2442,12,18.57,4.04,-0.075,-0.196,-116.15,0,-0.049
26,ETHUSDT-1m,1223,333,890,27.23,-0.1427,-0.1427,-9.00,18,-81.93,2.672,-0.000,⚠️ منفی,27.23,8.59,1.31,0.00,29.1853,-0.4998,1.7539,51,321.0592,-224976.31,0.00,0.00,101,0,-0.0014,7.1203,54.7943,-6.8973,36.63,5.4997,-3.1817,5,12.11,3.68,-0.000,-0.001,-76.83,17,-0.000
27,BTCUSDT-1m_PAXGUSDT-1m,2916,988,1928,33.88,-212.8297,-212.8297,-9.00,18,-252.07,1.516,-0.066,⚠️ منفی,33.88,7.34,0.69,0.00,15.1924,-0.4998,1.1031,94,442.8008,-208.05,0.00,0.00,101,0,-2.1072,6.4839,24.2607,-13.6426,30.69,5.4218,-5.4415,12,28.87,8.70,-0.325,-0.643,-245.95,0,-0.103
28,ETHUSDT-1m_PAXGUSDT-1m,2263,712,1551,31.46,-164.8331,-164.8331,-9.00,18,-242.59,1.709,-0.053,⚠️ منفی,31.46,6.85,0.80,0.00,29.1853,-0.4998,1.3719,69,384.7950,-233.45,0.00,0.00,101,0,-1.6320,7.8298,55.0934,-13.3206,25.74,7.0587,-4.6448,15,22.41,8.47,-0.208,-0.568,-236.89,0,-0.083
29,ETHUSDT-1m_SOLUSDT-1m,2050,501,1549,24.44,-80.6467,-80.6467,-10.00,20,-140.63,2.769,-0.025,⚠️ منفی,24.44,8.73,1.12,0.00,29.1853,-0.4998,1.5675,509,689.5451,-855.02,0.00,0.00,101,0,-0.7985,8.1943,58.5919,-14.1945,33.66,6.4591,-4.4814,11,20.30,7.19,-0.097,-0.300,-134.03,0,-0.071
30,PAXGUSDT-1m_SOLUSDT-1m,1867,547,1320,29.30,-245.1944,-245.1944,-20.43,41,-254.53,1.505,-0.135,⚠️ منفی,29.30,6.64,0.48,0.00,11.4942,-0.4998,0.9703,52,231.6738,-94.49,0.00,0.00,70,0,-3.5028,5.1424,11.2366,-15.0946,28.57,2.8896,-6.0597,14,26.67,5.18,-0.681,-1.112,-253.46,0,-0.166
31,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,4209,1145,3064,27.20,-399.4557,-399.4557,-10.00,20,-459.91,1.973,-0.070,⚠️ منفی,27.20,7.15,0.83,0.00,31.2843,-0.4998,1.3490,135,734.3406,-183.84,0.00,0.00,101,0,-3.9550,10.4342,54.3928,-19.1453,21.78,9.8069,-7.7874,20,41.67,14.90,-0.379,-0.839,-455.11,0,-0.104

ترکیب‌های با بازدهی مثبت,0/31
ترکیب‌های با بازدهی ≥۱٪,0/31
میانگین بازدهی ویژه,-231.0168%
