گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
aggregated,Best_1h_XRPUSDT-1m,XRPUSDT-1m,1119,265,854,23.68,-11.50,23,-154.41,2.055,-0.100,-154.1186,-154.1186,اصلی,23.68,6.43,0.89,0.00,31.2843,-0.4998,1.3793,269,270.7114,-175.65,0.00,0.00,97,0,-1.5889,5.1303,35.7814,-9.1965,23.71,4.4929,-3.4791,13,11.54,3.52,-0.310,-0.941,-154.12,0,-0.124
aggregated,Best_1h_BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,3822,1042,2780,27.26,-11.50,23,-288.76,2.123,-0.057,-282.7619,-282.7619,اصلی,27.26,8.11,0.92,0.00,31.2843,-0.4998,1.3000,142,728.6107,-257.68,0.00,0.00,101,0,-2.7996,9.1103,34.1810,-19.0031,30.69,7.6069,-7.4082,8,37.84,9.63,-0.307,-0.635,-285.46,0,-0.118
aggregated,Best_15m_ETHUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_XRPUSDT-1m,12438,4314,8124,34.68,-12.00,24,-1080.35,1.396,-0.081,-1046.6811,-1046.6811,اصلی,34.68,7.45,0.52,0.00,29.1854,-0.5207,1.0329,358,1633.0874,-156.03,0.00,0.00,101,0,-10.3632,12.4272,26.3804,-37.7165,17.82,8.7013,-14.4976,12,123.15,19.40,-0.834,-1.167,-1068.76,0,-0.116
aggregated,Best_15m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,21665,7777,13888,35.90,-12.49,25,-1966.83,1.278,-0.090,-1959.8496,-1959.8496,اصلی,35.90,6.91,0.49,0.00,29.1854,-0.5881,1.0086,560,2604.1265,-132.87,0.00,0.00,101,0,-19.4045,17.9812,25.0784,-65.2996,12.87,10.2265,-23.7818,24,214.50,35.13,-1.079,-1.321,-1959.85,0,-0.119
aggregated,Best_30m_SOLUSDT-1m_XRPUSDT-1m,SOLUSDT-1m_XRPUSDT-1m,4972,1401,3571,28.18,-12.00,24,-569.05,1.767,-0.095,-546.8076,-546.8076,اصلی,28.18,7.34,0.74,0.00,24.9874,-0.4998,1.1523,145,736.8532,-134.76,0.00,0.00,97,0,-5.6372,8.9812,29.2822,-27.8789,18.56,8.2269,-8.7961,13,51.26,15.31,-0.628,-0.998,-567.75,0,-0.119
aggregated,Best_30m_BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,8588,2633,5955,30.66,-12.00,24,-809.81,1.653,-0.082,-799.2678,-799.2678,اصلی,30.66,7.41,0.75,0.00,24.9874,-0.4998,1.1285,265,1296.7268,-162.24,0.00,0.00,101,0,-7.9135,11.9778,31.4715,-32.8121,23.76,9.1496,-13.2319,13,85.03,20.14,-0.661,-1.095,-806.01,0,-0.118
aggregated,Best_30m_BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,10312,3267,7045,31.68,-12.00,24,-1112.65,1.472,-0.102,-1109.5574,-1109.5574,اصلی,31.68,6.88,0.62,0.00,24.9874,-0.5490,1.0582,286,1364.5532,-122.98,0.00,0.00,101,0,-10.9857,12.8895,25.7736,-49.6598,17.82,8.6437,-15.2427,15,102.10,29.79,-0.852,-1.156,-1111.55,0,-0.119
aggregated,Best_1h_BTCUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_SOLUSDT-1m,2703,777,1926,28.75,-12.00,24,-150.46,2.147,-0.038,-128.6433,-128.6433,اصلی,28.75,8.81,0.92,0.00,15.1924,-0.4998,1.2651,110,547.0031,-425.21,0.00,0.00,101,0,-1.2737,6.9882,27.7847,-14.2944,35.64,6.1802,-5.4020,12,26.76,7.43,-0.182,-0.366,-145.32,0,-0.105
aggregated,Best_30m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,6696,2035,4661,30.39,-12.08,25,-874.90,1.441,-0.123,-857.0972,-857.0972,اصلی,30.39,6.54,0.55,0.00,24.9874,-0.5490,1.0374,166,804.6797,-93.88,0.00,0.00,97,0,-8.8361,10.1351,22.7420,-35.4411,15.46,7.3749,-11.8015,15,69.03,25.54,-0.872,-1.161,-873.30,0,-0.121
aggregated,Best_15m_BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_XRPUSDT-1m,18982,6743,12239,35.52,-12.49,25,-1506.05,1.368,-0.075,-1501.2591,-1501.2591,اصلی,35.52,7.29,0.56,0.00,29.1854,-0.5207,1.0544,529,2504.6754,-166.84,0.00,0.00,101,0,-14.8640,16.2510,28.6753,-46.5333,15.84,10.9388,-19.7209,18,187.94,25.47,-0.915,-1.207,-1501.26,0,-0.119
aggregated,Best_15m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,25951,9174,16777,35.35,-12.50,25,-2248.19,1.337,-0.084,-2241.2074,-2241.2074,اصلی,35.35,7.21,0.50,0.00,29.1854,-0.5881,1.0310,691,3223.5914,-143.83,0.00,0.00,101,0,-22.1902,19.3308,25.0784,-70.5003,10.89,11.3887,-26.2943,27,256.94,57.33,-1.148,-1.386,-2241.21,0,-0.119
aggregated,Best_15m_ETHUSDT-1m_SOLUSDT-1m,ETHUSDT-1m_SOLUSDT-1m,10516,3684,6832,35.03,-12.50,25,-614.18,1.539,-0.049,-580.4059,-580.4059,اصلی,35.03,8.41,0.54,0.00,29.1854,-0.5122,1.1178,339,1562.1605,-269.15,0.00,0.00,101,0,-5.7466,10.6600,26.0833,-28.6932,30.69,6.0335,-10.9635,16,104.12,30.93,-0.539,-0.743,-609.37,0,-0.113
aggregated,Best_15m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,13177,4458,8719,33.83,-12.50,25,-1490.27,1.283,-0.118,-1487.5813,-1487.5813,اصلی,33.83,6.85,0.39,0.00,22.9885,-0.5881,0.9598,312,1409.3079,-94.74,0.00,0.00,97,0,-15.3359,12.3281,14.4897,-49.3031,6.19,8.9758,-16.9389,40,135.85,48.92,-1.244,-1.406,-1487.58,0,-0.124
aggregated,Best_1h_PAXGUSDT-1m_XRPUSDT-1m,PAXGUSDT-1m_XRPUSDT-1m,2159,644,1515,29.83,-12.44,25,-327.67,1.350,-0.134,-318.8090,-318.8090,اصلی,29.83,5.65,0.56,0.00,31.2843,-0.4998,1.1001,50,245.3433,-76.96,0.00,0.00,97,0,-3.2867,6.2087,38.0691,-12.5668,17.53,5.8657,-5.2316,27,22.26,8.07,-0.529,-1.097,-325.27,0,-0.121
